id,draft_year,draft_position,height,height_inches
kanteen01,2012,3,6-10,82
kaponja01,2004,31,6-8,80
karasse01,2014,19,6-7,79
karlco01,2008,NA,6-5,77
kasunma01,2003,41,7-1,85
kaunsa01,2009,56,6-11,83
kawamyu01,2025,NA,5-7,67
keacl01,1981,169,6-6,78
keefead01,1993,10,6-9,81
keeliha01,1986,63,6-4,76
keelstr01,2023,42,6-3,75
kelleky01,2025,NA,7-0,84
kelleri01,1976,7,7-0,84
kellocl01,1983,8,6-7,79
kellymi02,2026,NA,6-4,76
kellyry01,2014,48,6-11,83
kelsegr01,1980,4,6-7,79
kempsh01,1990,17,6-10,82
kemptti01,1987,124,6-10,82
kennalu01,2018,12,6-5,77
kennedj01,2012,NA,6-6,78
kenonla01,1974,50,6-9,81
kernejo01,1999,NA,6-11,83
kerrst01,1989,50,6-3,75
kerseje01,1985,46,6-7,79
kesslal01,1991,12,6-11,83
kesslwa01,2023,22,7-2,86
ketnela01,2000,49,6-9,81
keybr01,2022,NA,6-7,79
keysra01,1989,22,6-7,79
khryavi01,2005,22,6-9,81
kiddgmi01,2013,2,6-6,78
kiddja01,1995,2,6-4,76
kiddst01,2020,NA,6-6,78
kiddwa01,1994,NA,6-9,81
kiffiir01,1980,NA,6-9,81
kilpaca01,1979,158,6-10,82
kilpase01,2015,NA,6-4,76
kimblbo01,1991,8,6-4,76
kimbrst01,1990,NA,5-11,71
kinchch01,1981,22,6-4,76
kingal01,1982,10,6-6,78
kingbe01,1978,7,6-7,79
kingch01,1993,45,6-8,80
kingfr01,1996,37,6-1,73
kingge02,1999,NA,6-9,81
kingge03,2019,59,6-6,78
kingji02,1996,35,6-5,77
kinglo02,2020,NA,6-7,79
kingre01,1980,18,6-6,78
kingri01,1992,14,7-2,86
kingst01,1990,6,6-11,83
kinseta01,2007,NA,6-6,78
kirilan01,2000,24,6-9,81
kirkal01,2015,NA,7-0,84
kispeco01,2022,15,6-6,78
kitchcu01,1987,122,6-9,81
kitegr01,1984,21,6-11,83
kittlke01,1997,8,6-5,77
klebima01,2018,NA,6-10,82
kleinjo01,1986,6,6-11,83
kleizli01,2006,27,6-8,80
klintbo01,2025,37,6-9,81
knechda01,2025,17,6-6,78
knighbi01,1975,21,6-6,78
knighbr01,1998,16,5-10,70
knighbr02,2005,NA,6-0,72
knighbr03,2012,8,6-2,74
knighna01,2021,NA,6-8,80
knighne01,1991,31,6-1,73
knighto01,1978,32,6-9,81
knightr01,1997,29,7-0,84
knoxke01,2019,9,6-8,80
knuepko01,2026,4,6-6,78
kofoeba01,1988,107,6-4,76
kolekty01,2025,34,6-2,74
kolokch01,2023,33,6-11,83
konanya01,2026,30,6-11,83
koncajo01,1986,5,7-0,84
konchjo01,2020,NA,6-5,77
kopicjo01,1983,56,6-9,81
korkmfu01,2017,26,6-7,79
kornefr01,1990,30,6-9,81
kornelu01,2018,NA,7-1,85
korolya01,2006,12,6-9,81
korveky01,2004,51,6-7,79
koufoko01,2009,23,7-0,84
kramear01,1980,45,6-9,81
kramejo01,1979,63,6-7,79
kravtvi01,2013,NA,7-0,84
krejcvi01,2021,37,6-8,80
kreklwa01,1980,53,6-4,76
krstine01,2003,24,7-0,84
krystla01,1987,28,6-9,81
kuczebr01,1984,59,6-10,82
kuestjo01,1978,53,6-2,74
kukocto01,1991,29,6-10,82
kulboar01,2019,55,6-10,82
kuminjo01,2022,7,6-7,79
kunneke01,1974,12,7-0,84
kupchmi01,1977,13,6-9,81
kurucro01,2019,40,6-9,81
kurzro01,2009,NA,6-9,81
kutluib01,2005,NA,6-6,78
kuzmaky01,2018,27,6-8,80
kuzmimi01,2017,NA,6-9,81
kuzmiog01,2013,52,7-1,85
labissk01,2017,28,6-10,82
laceysa01,1971,5,6-10,82
laettch01,1993,3,6-11,83
lafayol01,2010,NA,6-2,74
